id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update
74,https://www.coupang.com/vp/products/8660625625,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14akp10, r5 350",1,,118,,,r5 350,32,dual,512,1,14,8,5,6.5,0.298913043,139,3.314999257,60,oled,6,0.72826087,7.06,-0.002282609,8.5,0.5,8,ÄíÆÎ,0,0,0,,
33,https://www.coupang.com/vp/products/8898341424,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14iah10, u5 225h",1,,100,,,u5 225h,24,dual,512,0,14,8,5,6.5,0.298913043,139,3.314999257,60,oled,6,0.72826087,7.06,-0.002282609,8.5,0.5,8,ÄíÆÎ,0,0,0,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
80,https://www.coupang.com/vp/products/8898526670?itemId=26840804658&vendorItemId=93810725946,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16akp10, r5 340",1,,115,,,r5 340,24,dual,512,0,16,9,8,8.5,2.298913043,169,-2.028985507,60,oled,4,-1.27173913,6,-1.062282609,10,2,8,ÄíÆÎ,0,0,0,,
58,https://www.coupang.com/vp/products/8670201542,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16akp10, r7 350",1,,128,,,r7 350,32,dual,512,1,16,9,8,8.5,2.298913043,169,-2.028985507,60,oled,6,0.72826087,6,-1.062282609,10,2,8,ÄíÆÎ,0,0,0,,
41,https://www.coupang.com/vp/products/8883152949,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16iah10, u5 225h",1,,110,,,u5 225h,24,dual,512,0,16,9,8,8.5,2.298913043,169,-2.028985507,60,oled,6,0.72826087,6,-1.062282609,10,2,8,ÄíÆÎ,0,0,0,,
17,https://www.coupang.com/vp/products/8883267474,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16iah10, u7 255h",1,,122,,,u7 255h,24,dual,512,0,16,9,8,8.5,2.298913043,169,-2.028985507,60,oled,7,1.72826087,6,-1.062282609,10,2,8,ÄíÆÎ,0,0,0,,
75,https://www.coupang.com/vp/products/8847714479?itemId=25737737037&vendorItemId=92733954991,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 2in1 16akp10, r5 350",1,,125,,,r5 350,16,onboard,512,1,16,9,7,8,1.798913043,190,10.14492754,57,oled,6,0.72826087,5.7,-1.362282609,10,2,8,ÄíÆÎ,0,0,0,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
20,https://www.coupang.com/vp/products/8673080963?itemId=25177237369&vendorItemId=92174218910,lenovo,"¿ä°¡ 7 2in1 14ill10, u5 228v",1,,165,,,u5 228v,32,onboard,512,1,14,8,8,8,1.798913043,138,2.571725881,70,oled,6,0.72826087,9.66,2.597717391,7.25,1.25,6,ÄíÆÎ,1,0,0,"±×·¹ÀÌ, 512GB",
20,https://www.coupang.com/vp/products/8673080963?itemId=25177237372&vendorItemId=92174218945,lenovo,"¿ä°¡ 7 2in1 14ill10, u5 228v",2,,170,,,u5 228v,32,onboard,1024,1,14,8,8,8,1.798913043,138,2.571725881,70,oled,6,0.72826087,9.66,2.597717391,7.25,1.25,6,ÄíÆÎ,1,0,0,"¾¾½©, 1TB",
19,https://www.coupang.com/vp/products/8673080960?itemId=25177237363&vendorItemId=92174218920,lenovo,"¿ä°¡ 7 2in1 14ill10, u5 258v",1,,180,,,u5 258v,32,onboard,512,1,14,8,8,8,1.798913043,138,2.571725881,70,oled,7,1.72826087,9.66,2.597717391,7.25,1.25,6,ÄíÆÎ,1,0,0,"¾¾½©, 512GB",
19,https://www.coupang.com/vp/products/8673080960?itemId=25177237359&vendorItemId=92174218896,lenovo,"¿ä°¡ 7 2in1 14ill10, u5 258v",2,,180,,,u5 258v,32,onboard,1024,1,14,8,8,8,1.798913043,138,2.571725881,70,oled,7,1.72826087,9.66,2.597717391,7.25,1.25,6,ÄíÆÎ,1,0,0,"±×·¹ÀÌ, 1TB",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
