id,link,brand,name,remark,variant,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,portability,display,cpu_style,weight,battery,Unnamed: 23,market,last_update,benefit_count
,,,,,,,0,,,,#VALUE!,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,#VALUE!,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
,,,,,,,0,,,,,,,,,,,,,,,,,쿠팡,,
