id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
90,https://www.coupang.com/vp/products/8721859542,hp,"노트북 17, i3 1215u",1,,430000,849800,97.6,i3 1215u,8,dual,1,1,17.3,3,3,238,41,ips,2,3.64,11.25,0.75,10.5,쿠팡,0,0,0,,2026-03-07 10:25
13,https://www.coupang.com/vp/products/8952675279?itemId=26188749438&vendorItemId=93168174673,hp,"옴니북 5 16, u7 255u",1,,830000,1849000,122.8,u7 255u,32,onboard,2,1,16,3,5,177,59,ips,7,7.15,8.25,0.75,7.5,쿠팡,0,0,0,,2026-03-07 10:50
22,https://www.coupang.com/vp/products/8906849720?itemId=26014107763&vendorItemId=92995948658,ac,"아스파이어 14, u5 226v",1,1,770000,1044050,,u5 226v,16,onboard,2,1,14,3,5,140,65,ips,6,10.83,6,0,6,쿠팡,0,0,0,,2026-03-07 8:36
14,https://www.coupang.com/vp/products/8533865160?itemId=24703151720&vendorItemId=91712741111,as,"비보북 s16, u7 255h",1,1,1130000,1699050,,u7 255h,16,onabord,4,1,16,8,8,150,75,oled,7,7.5,10,2,8,쿠팡,0,0,0,,2026-03-07 9:40
10,https://www.coupang.com/vp/products/8641990955,as,"젠북 s16, u7 258v",2,2,1900000,,,u7 258v,32,onaboard,4,1,16,8,8,150,78,oled,7,9.75,8,2,6,쿠팡,0,0,0,,
86,https://www.coupang.com/vp/products/8648574647?itemId=25102068022&vendorItemId=92104783099,hp,"옴니북 3 14, i3 1315u",1,1,480000,739000,,i3 1315u,16,dual,2,1,14,3,3,140,41,ips,3,4.32,9.5,0,9.5,쿠팡,0,0,0,,2026-03-07 10:32
65,https://www.coupang.com/vp/products/8847458166?itemId=25789395906&vendorItemId=92777182389,hp,"옴니북 5 16, r5 8540u",1,1,630000,845460,,r5 8540u,16,onboard,2,1,16,3,5,179,59,ips,5,6.56,9,0.75,8.25,쿠팡,0,0,0,,2026-03-07 10:43
66,https://www.coupang.com/vp/products/8680039848?itemId=25197742104&vendorItemId=92194389018,le,"씽크북 14arp G7 R5, r5 7535hs",1,1,600000,845460,,r5 7535hs,16,single,2,0,14,6,5,138,60,ips,4,6.32,9.5,0,9.5,쿠팡,0,0,0,,2026-03-07 12:02
50,https://www.coupang.com/vp/products/8792314051?itemId=25592117166&vendorItemId=92582883311,le,"아이디어패드 슬림3 15ABR8, r7 5825u",1,1,580000,809000,,r7 5825u,16,onboard,2,0,15.6,3,3,162,47,ips,3,4.82,9.75,0.75,9,쿠팡,0,0,0,,2026-03-07 12:29
31,https://www.coupang.com/vp/products/8518435229?itemId=24662380297&vendorItemId=91672792964,lg,"그램 14, u5 225h",1,1,1300000,1789000,,u5 225h,16,onboard,1,1,14,6,5,112,72,ips,6,9,8,0,8,쿠팡,0,0,1,,2026-03-07 13:59
36,https://www.coupang.com/vp/products/8518435273?itemId=24662380570&vendorItemId=91672793061,lg,"그램프로 16, u5 225h",1,1,1650000,2078000,,u5 225h,16,onboard,1,1,16,7,8,120,77,ips,6,8.11,9.5,1.5,8,쿠팡,0,0,2,블랙,2026-03-07 14:03
24,https://www.coupang.com/vp/products/8665643751?itemId=25151207734&vendorItemId=92149671495,lg,"그램프로 16, u5 226v",1,1,1700000,1853670,,u5 226v,16,onboard,1,1,16,7,8,120,77,ips,6,10.27,7.5,1.5,6,쿠팡,0,0,2,256GB,2026-03-07 14:10
25,https://www.coupang.com/vp/products/8798723192?itemId=25617728073&vendorItemId=92608107963,lg,"그램프로 16, u5 226v",2,1,1700000,2140000,,u5 226v,16,onboard,2,1,16,7,8,120,77,ips,6,10.27,7.5,1.5,6,쿠팡,0,0,2,512GB,2026-03-07 14:14
