id,link,brand,name,variant,price_reference,price_current,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
56,https://www.coupang.com/vp/products/8883315581,le,"¿ä°¡ 7 2in1 14akp10, r7 350",1,1450000,,r7 350,32,onboard,2,1,14,8,8,138,70,oled,6,7.57,9.25,1.25,8,ÄíÆÎ,1,0,0,,
20,https://www.coupang.com/vp/products/8673080963,le,"¿ä°¡ 7 2in1 14ill10, u5 228v",1,1650000,,u5 228v,32,onboard,2,1,14,8,8,138,70,oled,6,9.66,7.25,1.25,6,ÄíÆÎ,1,0,0,,
19,https://www.coupang.com/vp/products/8673080963,le,"¿ä°¡ 7 2in1 14ill10, u5 258v",1,1750000,,u5 258v,32,onboard,2,1,14,8,8,138,70,oled,7,9.66,7.25,1.25,6,ÄíÆÎ,1,0,0,,
57,https://www.coupang.com/vp/products/8673103310,le,"¿ä°¡ ½½¸²7 14akp10, r7 350",1,1400000,,r7 350,32,onboard,4,1,14,8,8,119,70,oled,6,7.57,9.25,1.25,8,ÄíÆÎ,0,0,0,,
21,https://www.coupang.com/vp/products/8670590507,le,"¿ä°¡ ½½¸²7 14ill10, u5 228v",1,1550000,,u5 228v,32,onboard,2,1,14,8,8,119,70,oled,6,9.66,7.25,1.25,6,ÄíÆÎ,0,0,0,,
7,https://www.coupang.com/vp/products/8670590493,le,"¿ä°¡ ½½¸²7 14ill10, u7 258v",1,1650000,,u7 258v,32,onboard,2,1,14,8,8,119,70,oled,7,9.66,7.25,1.25,6,ÄíÆÎ,0,0,0,,
3,https://www.coupang.com/vp/products/8408971036,le,"¿ä°¡ ½½¸²7 15ill9, u7 258v",1,1750000,,u7 258v,32,onboard,2,1,15.3,7,8,153,70,ips,7,9.33,7.5,1.5,6,ÄíÆÎ,0,0,0,,
18,https://www.coupang.com/vp/products/7955896989?itemId=21980916755&vendorItemId=89028561695,le,"¿ä°¡ºÏ  9i 13imu9, u7 155u",1,2500000,,u7 155u,32,onboard,4,1,13.3,8,8,134,80,oled,4,8.42,9.5,1.25,8.25,ÄíÆÎ,1,0,3,,
31,https://www.coupang.com/vp/products/8518435229?itemId=24662380297&vendorItemId=91672792964,lg,"±×·¥ 14, u5 225h",1,1300000,,u5 225h,16,onboard,1,1,14,6,5,112,72,ips,6,9,8,0,8,ÄíÆÎ,0,0,1,,
36,https://www.coupang.com/vp/products/8518435273?itemId=24662380570&vendorItemId=91672793061,lg,"±×·¥ÇÁ·Î 16, u5 225h",1,1650000,,u5 225h,16,onboard,1,1,16,7,8,120,77,ips,6,8.11,9.5,1.5,8,ÄíÆÎ,0,0,2,ºí·¢,
37,https://www.coupang.com/vp/products/8518435238?itemId=24662380338&vendorItemId=91672792997,lg,"±×·¥ÇÁ·Î 16, u5 225h",2,1650000,,u5 225h,16,onboard,1,1,16,7,8,120,77,ips,6,8.11,9.5,1.5,8,ÄíÆÎ,0,0,2,È­ÀÌÆ®,
24,https://www.coupang.com/vp/products/8665643751?itemId=25151207734&vendorItemId=92149671495,lg,"±×·¥ÇÁ·Î 16, u5 226v",1,1700000,,u5 226v,16,onboard,1,1,16,7,8,120,77,ips,6,10.27,7.5,1.5,6,ÄíÆÎ,0,0,2,256GB,
25,https://www.coupang.com/vp/products/8798723192?itemId=25617728073&vendorItemId=92608107963,lg,"±×·¥ÇÁ·Î 16, u5 226v",2,1700000,,u5 226v,16,onboard,2,1,16,7,8,120,77,ips,6,10.27,7.5,1.5,6,ÄíÆÎ,0,0,2,512GB,
38,https://www.coupang.com/vp/products/8518435232?itemId=24662380325&vendorItemId=91672792975,lg,"±×·¥ÇÁ·Î 17, u5 225h",1,1750000,,u5 225h,16,onboard,1,1,17,7,8,139,77,ips,6,8.11,9.5,1.5,8,ÄíÆÎ,0,0,2,,
39,https://www.coupang.com/vp/products/8518435234?itemId=24662380327&vendorItemId=91672792982,lg,"±×·¥ÇÁ·Î 360 16, u5 225h",1,1650000,,u5 225h,16,onboard,1,1,16,7,8,140,77,ips,6,8.11,9.5,1.5,8,ÄíÆÎ,1,0,2,,
